,homeTeamCode,awayTeamCode,game_id,time,period,team,teamCode,location,xCordAdjusted,xCordAdjusted,shotType,shotOnEmptyNet,shotRush,shotRebound,shotDistance,shotAngleAdjusted,shooterName,goalieNameForShot,event
1346959,MTL,NYR,30111,2008,2,HOME,MTL,AWAYZONE,80,80,WRIST,0,0,0,19.2353840617,62.1027289691,Alex Galchenyuk,Henrik Lundqvist,SHOT
1346960,MTL,NYR,30111,2011,2,HOME,MTL,AWAYZONE,84,84,WRIST,0,0,1,12.0830459736,65.5560452196,Andreas Martinsen,Henrik Lundqvist,SHOT
1346961,MTL,NYR,30111,2017,2,HOME,MTL,AWAYZONE,33,33,WRIST,0,0,0,57.4891294072,13.0693178963,Jeff Petry,Henrik Lundqvist,MISS
1346962,MTL,NYR,30111,2020,2,HOME,MTL,AWAYZONE,62,62,WRIST,0,0,1,35.4682957019,40.4260787401,Jordie Benn,Henrik Lundqvist,SHOT
1346963,MTL,NYR,30111,2094,2,HOME,MTL,AWAYZONE,64,64,WRIST,0,0,0,25.495097568,11.309932474000002,Max Pacioretty,Henrik Lundqvist,SHOT
1346964,MTL,NYR,30111,2096,2,HOME,MTL,AWAYZONE,79,79,WRIST,0,0,1,10.1980390272,11.309932474000002,Andrew Shaw,Henrik Lundqvist,MISS
1346965,MTL,NYR,30111,2134,2,HOME,MTL,AWAYZONE,77,77,WRIST,0,0,0,16.9705627485,45.0,Shea Weber,Henrik Lundqvist,SHOT
1346966,MTL,NYR,30111,2138,2,AWAY,NYR,HOMEZONE,33,33,SLAP,0,0,0,57.7234787586,14.0362434679,Nick Holden,Carey Price,SHOT
1346967,MTL,NYR,30111,2141,2,AWAY,NYR,HOMEZONE,51,51,SNAP,0,0,0,42.0475920833,25.3461759419,Rick Nash,Carey Price,SHOT
1346968,MTL,NYR,30111,2214,2,AWAY,NYR,HOMEZONE,45,45,SLAP,0,0,0,50.1198563446,28.610459666,Ryan McDonagh,Carey Price,MISS
1346969,MTL,NYR,30111,2257,2,AWAY,NYR,HOMEZONE,40,40,WRIST,0,0,0,50.960769225,15.9453959009,Mats Zuccarello,Carey Price,MISS
